序号,原始文本 (legal_basis),预期法律名 (law_name),预期条款号 (article_no),效力层级 (level),预期文号
1,《中华人民共和国政府采购法实施条例》第十八条 https://www.ccgp.gov.cn/...,中华人民共和国政府采购法实施条例,第18条,行政法规,—
2,《政府采购法》第5条 https://www.npc.gov.cn/...,中华人民共和国政府采购法,第5条,法律,—
3,《中华人民共和国政府采购法》第四十八条,中华人民共和国政府采购法,第48条,法律,—
4,《政府采购法》第33条 https://czj.guiyang.gov.cn/...,中华人民共和国政府采购法,第33条,法律,—
5,《公平竞争审查制度实施细则》第十四条第四款,公平竞争审查制度实施细则,第14条,部门规章,—
6,《保障中小企业款项支付条例》第八条 https://www.chinatax.gov.cn/...,保障中小企业款项支付条例,第8条,行政法规,—
7,《建筑工程安全防护、文明施工措施费用及使用管理规定》,建筑工程安全防护、文明施工措施费用及使用管理规定,—,部门规章,—
8,《中华人民共和国政府采购法》第二十二条 https://www.gscx.gov.cn/...,中华人民共和国政府采购法,第22条,法律,—
9,《政府采购促进中小企业发展管理办法》（财库〔2020〕46号）,政府采购促进中小企业发展管理办法,—,部门规章,财库〔2020〕46号
10,《中华人民共和国政府采购法实施条例》第二十条 https://fj.gov.cn/...,中华人民共和国政府采购法实施条例,第20条,行政法规,—
11,《政府采购货物和服务招标投标管理办法》（财政部令第87号）,政府采购货物和服务招标投标管理办法,—,部门规章,财政部令第87号
12,《中华人民共和国民法典》第五百八十五条 https://www.64365.com/...,中华人民共和国民法典,第585条,法律,—
13,《政府采购法实施条例》第二十条第一款,中华人民共和国政府采购法实施条例,第20条,行政法规,—
14,《政府采购法》第二十二条第二款 https://163.com/...,中华人民共和国政府采购法,第22条,法律,—
15,《中华人民共和国政府采购法》第九条 https://baike.baidu.com/...,中华人民共和国政府采购法,第9条,法律,—
16,《中华人民共和国政府采购法实施条例》第四条 https://www.gscx.gov.cn/...,中华人民共和国政府采购法实施条例,第4条,行政法规,—
17,《中华人民共和国政府采购法实施条例》第二十二条第二款,中华人民共和国政府采购法实施条例,第22条,行政法规,—
18,《政府采购需求管理办法》（财库〔2021〕22号）第十条,政府采购需求管理办法,第10条,部门规章,财库〔2021〕22号
19,《关于进一步规范政府采购项目预付款和资金支付管理的通知》,关于进一步规范政府采购项目预付款和资金支付管理的通知,—,规范性文件,—
20,《中华人民共和国招标投标法》第十八条,中华人民共和国招标投标法,第18条,法律,—
21,《中华人民共和国政府采购法实施条例》第20条,中华人民共和国政府采购法实施条例,第20条,行政法规,—
22,《中华人民共和国政府采购法实施条例》第49条 https://...,中华人民共和国政府采购法实施条例,第49条,行政法规,—
23,《中华人民共和国政府采购法》第二十四条,中华人民共和国政府采购法,第24条,法律,—
24,《政府采购货物和服务招标投标管理办法》（财政部令第87号）第三十一条,政府采购货物和服务招标投标管理办法,第31条,部门规章,财政部令第87号
25,《政府采购货物和服务招标投标管理办法》（财政部令第87号）第三十二条,政府采购货物和服务招标投标管理办法,第32条,部门规章,财政部令第87号
26,《中华人民共和国档案法》第二十四条 https://www.npa.gov.cn/...,中华人民共和国档案法,第24条,法律,—
27,《中华人民共和国政府采购法》第三十一条 https://www.gov.cn/...,中华人民共和国政府采购法,第31条,法律,—
28,《政府采购需求管理办法》（2025年施行版）第三十一条,政府采购需求管理办法,第31条,部门规章,—
29,《政府采购需求管理办法》（财库〔2021〕22号）第七条,政府采购需求管理办法,第7条,部门规章,财库〔2021〕22号
30,《政府采购货物和服务招标投标管理办法》（财政部令第87号）第十条,政府采购货物和服务招标投标管理办法,第10条,部门规章,财政部令第87号
